"","ENS","1_Stock","10_B11","2_Stock","3_WT","4_WT","5_WTA6","6_WTA6","7_B2","8_B2","9_B11","ENTREZID","SYMBOL"
"1","ENSG00000000419",5.92170196426419,5.22402875873575,5.83250637078142,5.9138797864241,5.89013330954346,6.21344728306343,6.13221550314285,5.47238263807209,5.57071761123889,5.46983040242055,"8813","DPM1"
"2","ENSG00000000457",4.53712385988848,4.78240712704822,4.37885562325205,4.59311272810812,4.47400299874931,4.21057342808229,4.44540790010438,4.86037308567834,4.66042191016406,4.76134278529372,"57147","SCYL3"
"3","ENSG00000000460",7.24042117684911,6.71593098026205,7.34048182721519,7.35124128468972,7.50986069256425,6.94198093895109,7.06742516578263,6.63331903326362,6.73805130643115,6.76289249000666,"55732","C1orf112"
"4","ENSG00000000971",4.08487230044384,7.7668448913822,4.15743084439903,3.77912935458237,4.10121758627506,3.65651797095174,3.62345592101366,7.10738910085455,7.18889774620122,7.66174856302871,"3075","CFH"
"5","ENSG00000001036",6.20370262632982,6.27959241117433,6.28452768051193,6.27579939555263,6.2715748030967,6.0648957439007,6.05142922371339,6.2050353265113,6.19144835347301,6.36441947106356,"2519","FUCA2"
"6","ENSG00000001084",6.15496351742734,5.89874237200193,6.15067468084298,6.12460730058594,6.23114624024207,6.34387555513778,6.33354700428899,6.08390100301003,6.00223278591864,6.00410699490403,"2729","GCLC"
"7","ENSG00000001167",5.4945523267241,5.52597977343397,5.60525478866252,5.46781969238319,5.58258758174371,5.61449492082116,5.42524893756939,5.6005892100853,5.69735987717933,5.31846273970334,"4800","NFYA"
"8","ENSG00000001460",2.75566190384872,2.25991794749886,2.85549215772256,3.19856081191393,2.99832995714575,3.29538088453222,3.33160950817396,2.01603029253317,2.28704254091227,2.38783698023741,"90529","STPG1"
"9","ENSG00000001461",6.22665528553967,6.91905653907219,6.02149892577932,6.15925557747018,6.0467339353038,6.30800539072991,6.23389648659324,6.52502081612962,6.45219676896962,6.83555405543638,"57185","NIPAL3"
"10","ENSG00000001497",6.83901095201142,6.27794256693733,6.83871891488452,6.67782886428954,6.65901157138297,6.63658651787991,6.58123792883744,6.46159630492705,6.53186521922918,6.31861114406025,"81887","LAS1L"
"11","ENSG00000001561",2.94154587901068,1.31097595568467,3.08251674550912,2.94779817983181,3.06799903950253,4.10080972765275,4.02838529522896,1.20900549093248,0.870299070215205,1.01077368583953,"22875","ENPP4"
"12","ENSG00000001629",5.5026347936932,5.72799677003204,5.53791064255894,5.49026148569537,5.61553481945218,5.42119510582063,5.50187553320737,5.4177301116447,5.30395109751741,5.69653127491029,"54467","ANKIB1"
"13","ENSG00000001630",1.95718918344593,2.17736654414499,1.71835378520575,2.28195345639079,1.55103383585526,1.78021542005822,1.64257871695309,1.44592798761282,1.43305871109647,2.33622438242053,"1595","CYP51A1"
"14","ENSG00000001631",5.39385676564696,5.30402434665327,5.49383713892406,5.5460752791198,5.37560896643776,5.13052377745145,5.31000603485266,5.26820511249871,5.34477352780785,5.3610511608811,"889","KRIT1"
"15","ENSG00000002016",3.58354388471805,3.94070184101561,3.52523051429648,3.56089817642724,3.48962140820213,3.14734527366644,3.57172781141405,3.75856373548442,4.04264973687304,3.54487849615895,"5893","RAD52"
"16","ENSG00000002330",3.69119044811062,3.50590724466677,3.6053905219223,3.62540279084293,3.80736087707666,3.94511194188816,4.02838529522896,3.67714377477437,3.65023763805147,3.54487849615895,"572","BAD"
"17","ENSG00000002549",6.47826119170376,6.12666257127031,6.43195529933859,6.47897645913485,6.45699260293179,6.44113735338306,6.37185910840477,5.56078922844685,5.57863784960706,6.13446853890889,"51056","LAP3"
"18","ENSG00000002822",5.6888876869669,4.92415994170691,5.58562660172919,5.86510289686364,5.65455629818775,6.07175715869733,5.90653526406727,5.13224996962968,5.06927617081075,4.91436758386494,"8379","MAD1L1"
"19","ENSG00000002834",7.62307988986938,7.75917862752313,7.49248356162639,7.75085647175548,7.71759954102582,7.77016197418132,7.71721996200501,7.66767546780679,7.71070683704216,7.72519759430968,"3927","LASP1"
"20","ENSG00000002919",4.45064174801561,4.13548997960446,4.32660329111566,4.38530464884795,4.45332323539792,4.62863904714808,4.45685952262741,4.48310882906419,4.50285785288979,4.17126087722478,"29916","SNX11"
"21","ENSG00000003056",6.76478591790571,6.43720022118381,6.75662362999916,6.70579965353087,6.74021522682368,6.8045756848574,6.70644561288883,6.62851410933732,6.64556729405543,6.44581568339,"4074","M6PR"
"22","ENSG00000003096",2.60364278884008,-0.332649998976954,2.52542181050376,2.23547567691971,2.40663673419634,1.67600373960481,1.79472319687537,2.01603029253317,2.06447961318356,-0.133800949993124,"90293","KLHL13"
"23","ENSG00000003147",5.04487329252214,5.38595622340361,4.91546541531959,5.29162567284353,5.0976931506337,5.16622384490091,5.08864707147871,5.29574326253369,5.25206869969449,5.37710229004961,"3382","ICA1"
"24","ENSG00000003249",0.681198311821556,0.824377184632373,-0.0170508155922413,0.479531694490127,-1.06159140006016,-1.31151138493346,0.0547855730020391,0.489611684209411,-0.0650717535742442,1.13679433279977,"79007","DBNDD1"
"25","ENSG00000003393",4.35269356908141,4.49490919439037,4.40148494998574,4.39061675757357,4.52444157243761,4.59569397086119,4.80929986737205,4.30786066691767,4.44048224369156,4.29807331523676,"57679","ALS2"
"26","ENSG00000003400",5.98268450379287,5.95764093268661,5.91149260758023,5.96284556015526,6.03460395783691,6.11557815851915,6.07762793845516,5.87664390558405,5.95636326104467,5.68368235245276,"843","CASP10"
"27","ENSG00000003402",5.8953410814992,6.79303897346298,5.99384323913194,5.97350478219139,5.99401463638203,6.52101768437495,6.46695538882847,6.5068082584928,6.44643727159951,6.62989124337989,"8837","CFLAR"
"28","ENSG00000003436",0.0178789830009179,2.71489377617707,0.567168565595198,1.06219415283253,1.47099525506952,0.263948644280148,1.05690907592952,2.2592331333292,2.56733097432334,2.74526746333164,"7035","TFPI"
"29","ENSG00000003509",4.55277757683473,4.48350187346954,4.62466415283102,4.67811051862365,4.68826286001788,5.11731974118182,5.26511505154399,4.74079676705515,4.64038139569967,4.52823863546152,"55471","NDUFAF7"
"30","ENSG00000003756",6.50398820987491,6.70492212663958,6.58683830440828,6.42434098724693,6.61779084683418,6.41574536569156,6.58385159097215,6.55571720632301,6.54270281982859,6.44124252225848,"10181","RBM5"
"31","ENSG00000003989",5.44787615509483,4.32636354303756,5.60525478866252,5.29446234996771,5.08766416229136,4.9708512757691,5.06639224801441,4.88475621700659,4.58378985974266,4.36398812999453,"6542","SLC7A2"
"32","ENSG00000004059",5.66027093174652,5.34557182949371,5.60525478866252,5.71014693985862,5.69475414584205,5.71214198919845,5.5824992881775,5.63932063253365,5.73800453440943,5.4117984819661,"381","ARF5"
"33","ENSG00000004139",4.51065087178336,4.74945060535893,4.47800405801199,4.10415451708237,4.27625929574433,4.48696484147114,4.25519550766029,4.79754897650524,4.77054617446839,4.64419755280638,"23098","SARM1"
"34","ENSG00000004142",7.82887222645246,7.17272037598583,7.85417230809834,7.75188877979749,7.76084264396817,7.60497807259919,7.62822985303544,7.47033997811123,7.44140750517902,7.30616484344053,"26073","POLDIP2"
"35","ENSG00000004399",5.47551525976469,5.55624086751292,5.59547407566956,5.46278486197313,5.56341715888461,5.2472517098934,5.29413341121764,4.29578859006427,4.48048659905743,5.65236984704773,"23129","PLXND1"
"36","ENSG00000004455",8.99444775692529,8.51950058252273,8.94890990840507,8.88744350317451,8.83063949719286,8.84515030495772,8.87173216608395,8.62729686574922,8.68006367878376,8.57642048948899,"204","AK2"
"37","ENSG00000004468",4.54757852037154,4.68118921803473,4.44025175670539,4.73350948950494,4.95787552359311,5.74040759568023,5.71953588537022,2.90891190001393,3.42275924847303,4.94914235377909,"952","CD38"
"38","ENSG00000004478",8.24042439693497,7.9437491238556,8.17343008602866,8.02511307482995,7.9672893674198,7.835620251174,7.78238593517816,8.02064848989931,8.0395902407313,7.95055087813539,"2288","FKBP4"
"39","ENSG00000004487",8.01883674108609,7.80858199668116,8.02694167622062,7.96806984525135,8.0505348369649,7.93491908075485,7.9355283717695,7.96551315649594,7.96450602318161,7.78055284778597,"23028","KDM1A"
"40","ENSG00000004534",6.14810978130831,6.03781760129996,6.28908587333996,6.16236454565433,6.28187393424449,6.14840354337104,6.35359622295799,6.06090273355634,6.1406353632936,5.96428636896447,"10180","RBM6"
"41","ENSG00000004660",1.95718918344593,1.8264274620955,2.06870665347027,1.97756389205371,2.06880459268646,2.10849866275471,1.89914862716441,1.86080209016214,2.50219706802441,2.10905422507733,"84254","CAMKK1"
"42","ENSG00000004700",6.23799611424176,6.39824429188905,6.31613667467899,6.41002566174974,6.38920175174974,6.67651974407932,6.72669070719967,6.55824599948685,6.49327935464798,6.54149961164753,"5965","RECQL"
"43","ENSG00000004766",4.70530369458857,4.5062270252991,4.87964677455424,4.76248137038941,4.89024724299549,4.7745571463599,4.77311353225203,4.65833852405565,4.82926277603657,4.59013963409118,"55610","VPS50"
"44","ENSG00000004777",3.44501583443266,4.254358898935,2.9352029882077,3.40163754555818,3.56866089448842,3.73641705267085,4.02068945670585,3.5095609730803,3.68977674956099,3.91397475547002,"115703","ARHGAP33"
"45","ENSG00000004779",7.15838503116407,6.66382200785033,7.18611979768644,7.12134675898861,7.15550366126125,7.0810963624793,7.08228920233742,6.66181728892977,6.61765050513463,6.78110228266927,"4706","NDUFAB1"
"46","ENSG00000004848",0.0178789830009179,0.407971213175873,-0.0170508155922413,0.310468264449755,0.251849304650494,0.814972122993281,1.05690907592952,0.209775478363362,0.283970338418431,0.355334115089885,"170302","ARX"
